"HSinc1" "HSinc2" "HSinc3" "HSinc4" "HSinc5" "HSinc6" "HSinc7" "HSinc8" "HSinc9" "HSinc10" "HFair1" "HFair2" "HFair3" "HFair4" "HFair5" "HFair6" "HFair7" "HFair8" "HFair9" "HFair10" "EAnxi1" "EAnxi2" "EAnxi3" "EAnxi4" "EAnxi5" "EAnxi6" "EAnxi7" "EAnxi8" "EAnxi9" "EAnxi10" "EDepe1" "EDepe2" "EDepe3" "EDepe4" "EDepe5" "EDepe6" "EDepe7" "EDepe8" "EDepe9" "EDepe10" "XLive1" "XLive2" "XLive3" "XLive4" "XLive5" "XLive6" "XLive7" "XLive8" "XLive9" "XLive10" "AForg1" "AForg2" "AForg3" "AForg4" "AForg5" "AForg6" "AForg7" "AForg8" "AForg9" "AForg10" "APati1" "APati2" "APati3" "APati4" "APati5" "APati6" "APati7" "APati8" "APati9" "APati10" "CPerf1" "CPerf2" "CPerf3" "CPerf4" "CPerf5" "CPerf6" "CPerf7" "CPerf8" "CPerf9" "CPerf10" "OInqu1" "OInqu2" "OInqu3" "OInqu4" "OInqu5" "OInqu6" "OInqu7" "OInqu8" "OInqu9" "OInqu10" "OUnco1" "OUnco2" "OUnco3" "OUnco4" "OUnco5" "OUnco6" "OUnco7" "OUnco8" "OUnco9" "OUnco10"
6 6 7 5 5 3 4 6 3 4 7 7 4 7 5 2 1 2 2 1 2 5 1 5 3 5 5 7 4 3 2 4 4 5 3 2 5 7 2 5 7 6 7 5 7 4 6 6 4 3 5 4 3 2 6 5 2 7 6 6 7 6 4 4 2 5 1 5 2 1 7 5 7 6 5 5 5 3 1 2 7 7 6 7 7 7 1 1 3 2 1 2 3 4 4 3 1 6 3 3
6 3 4 5 5 5 3 7 2 4 3 5 5 3 6 5 5 3 3 1 5 2 3 5 1 2 7 6 5 5 1 4 6 3 5 1 1 1 5 5 4 3 5 6 3 7 6 6 5 5 3 5 5 6 5 7 6 3 5 5 6 3 3 4 3 5 2 5 1 5 4 2 4 4 4 6 3 5 3 7 5 6 6 5 7 7 5 1 2 3 5 5 7 1 4 4 2 5 4 2
7 1 2 2 1 2 1 2 4 5 1 6 1 1 6 7 6 5 2 7 7 7 6 7 2 1 2 5 2 1 6 7 6 4 1 6 6 6 6 7 1 6 3 4 4 4 6 4 2 6 4 6 6 5 4 4 2 7 7 6 6 7 7 3 7 3 1 2 2 1 6 5 6 5 5 6 6 6 5 6 6 6 5 4 2 6 4 2 3 5 5 5 7 2 6 1 2 2 2 3
3 5 6 1 1 4 1 5 3 1 7 7 5 7 5 6 2 1 1 2 6 7 7 7 6 1 1 3 1 1 4 5 5 3 5 7 3 5 3 3 2 2 2 6 2 7 2 3 7 6 3 6 6 6 3 3 2 4 2 3 7 7 7 7 6 1 1 1 1 1 6 5 5 7 6 4 7 7 3 3 7 7 6 7 4 7 1 1 7 6 4 4 5 5 4 2 2 4 2 1
2 6 5 5 1 4 2 6 3 6 6 4 6 7 2 3 5 2 1 3 4 2 4 5 3 2 7 6 5 5 6 7 1 5 6 3 1 6 4 7 5 6 4 6 5 2 5 5 5 4 1 3 5 2 7 7 2 7 7 4 3 5 2 5 5 3 5 3 5 5 6 6 6 4 5 5 5 6 5 6 5 5 7 7 6 7 2 1 2 2 5 6 6 1 3 3 3 4 6 2
7 1 1 1 1 1 1 2 2 3 3 4 3 6 5 4 3 2 5 1 5 7 7 6 3 1 2 3 7 1 6 5 2 5 4 6 5 6 3 6 3 3 1 6 2 6 5 5 6 6 4 6 6 7 4 1 3 3 1 2 6 4 7 6 5 2 2 2 2 1 7 7 5 6 6 5 5 6 2 4 5 7 7 5 3 6 2 2 2 2 7 5 6 5 7 2 2 2 3 2
3 3 4 6 2 3 1 4 5 6 6 3 6 6 6 7 1 3 1 3 4 6 5 6 5 2 6 3 3 6 6 7 6 6 6 4 6 7 5 7 6 5 5 4 5 7 6 6 1 4 2 3 6 4 3 1 3 2 5 3 3 4 6 2 6 5 4 4 3 5 5 6 6 7 5 5 2 5 3 3 6 4 7 7 6 7 2 1 2 3 7 6 7 6 6 3 1 3 2 5
4 2 1 3 3 1 3 3 1 5 3 6 3 3 1 5 5 4 3 5 5 5 4 6 1 4 2 5 4 6 6 3 5 4 1 4 6 5 3 4 1 2 1 4 1 5 7 5 7 5 2 5 5 5 2 2 2 5 2 6 5 4 7 5 3 3 5 5 6 5 2 2 4 3 3 3 1 3 5 4 6 7 6 5 1 4 6 3 4 2 5 5 5 2 6 2 2 3 3 2
5 1 2 3 6 3 5 6 6 3 3 5 6 4 6 7 3 4 1 5 6 7 5 5 2 2 4 3 5 6 6 6 5 6 4 4 3 6 5 6 6 4 6 4 6 6 6 5 1 3 3 5 5 4 6 6 5 5 7 5 6 5 7 3 5 5 3 2 1 3 4 2 5 5 3 7 5 5 5 5 7 5 6 6 6 6 3 1 4 1 3 3 7 4 3 2 3 3 2 2
6 2 3 2 3 3 2 6 2 1 3 4 6 2 4 6 5 3 1 5 4 5 3 6 3 2 3 3 5 5 6 5 4 3 4 5 6 6 7 7 3 5 3 6 1 5 3 4 5 6 3 6 7 2 3 3 3 1 2 4 5 6 5 3 5 4 3 2 4 5 6 6 6 5 5 7 7 5 1 4 2 7 7 6 5 6 7 5 2 2 2 5 3 1 3 7 7 6 5 6
7 3 2 3 1 2 1 6 4 2 5 1 6 3 5 5 2 4 2 4 1 5 6 6 5 3 3 2 6 2 4 4 2 2 2 6 2 3 1 4 1 1 1 1 2 5 6 4 7 7 2 6 5 2 5 6 5 6 7 5 3 3 3 2 2 6 6 5 6 6 5 4 6 5 7 6 6 4 2 5 5 6 7 7 6 7 5 2 1 2 6 4 5 3 1 6 6 6 5 4
3 6 4 3 2 3 7 7 2 1 4 6 6 5 5 3 1 1 1 1 4 5 5 6 2 2 4 1 4 2 3 5 2 3 1 1 1 3 3 6 2 4 4 5 4 5 2 5 4 4 5 4 5 3 5 5 4 3 3 5 3 2 6 3 6 5 3 5 5 6 6 5 7 7 6 7 5 4 1 5 6 7 7 7 5 7 3 1 2 1 6 6 6 6 6 1 2 2 4 2
3 1 2 3 1 1 5 3 4 6 3 6 4 5 5 4 1 5 1 2 5 5 4 5 4 2 3 5 4 3 4 6 4 3 5 2 5 5 3 6 1 1 1 4 2 4 4 4 7 5 3 3 5 3 6 7 4 2 6 6 3 3 5 2 2 4 6 4 1 6 6 1 6 5 6 6 7 5 1 6 7 4 5 6 5 6 3 2 2 4 5 7 6 5 5 1 2 2 2 4
3 5 5 5 5 5 4 6 7 5 4 5 6 3 4 7 6 2 2 5 5 6 7 6 5 2 3 3 4 1 5 2 6 4 3 1 2 5 3 5 6 7 6 6 6 5 2 6 2 5 1 4 6 5 4 2 2 2 5 6 4 1 7 4 5 4 2 5 3 5 5 4 5 5 2 4 5 5 4 6 4 6 3 4 6 4 5 6 3 2 2 6 7 2 4 1 2 4 2 2
5 3 5 5 7 2 2 6 3 1 7 7 7 7 6 1 1 1 1 1 6 7 5 5 5 3 1 3 2 3 7 7 7 7 2 5 7 6 3 7 5 5 5 5 5 7 7 6 3 5 1 4 5 4 4 7 5 5 4 6 3 5 6 3 4 3 5 6 2 4 7 6 7 7 5 6 7 6 1 3 7 7 5 7 6 6 2 2 2 2 4 2 6 2 2 2 6 3 4 4
7 1 2 1 1 1 1 2 3 5 3 6 3 5 5 6 2 2 4 4 5 7 5 7 2 2 4 4 7 1 7 6 6 5 7 6 2 6 5 7 6 6 6 6 5 4 7 7 6 3 6 3 5 6 2 1 1 4 4 5 5 5 6 3 3 3 3 5 2 5 5 6 5 2 6 4 5 3 5 5 6 6 5 3 2 6 6 4 7 1 5 5 4 1 4 6 3 4 4 4
6 3 5 2 2 2 4 6 3 4 2 2 1 1 5 7 7 6 3 2 6 6 7 7 6 1 1 5 3 2 6 5 2 7 5 5 3 4 2 7 5 2 2 6 5 5 4 7 4 4 5 1 6 5 1 2 3 7 2 4 1 3 5 2 4 6 3 6 4 5 5 4 5 6 4 5 5 6 5 5 7 7 7 7 1 7 3 1 3 4 6 5 6 1 6 5 5 5 5 2
4 5 6 6 2 6 3 6 4 1 3 3 3 3 4 4 3 3 1 3 3 5 2 3 1 5 6 6 5 6 5 2 5 3 5 5 5 3 3 5 5 5 6 7 6 5 7 2 5 2 1 4 3 6 5 2 5 6 6 2 3 1 6 1 1 7 7 6 7 6 3 1 3 3 2 3 5 1 6 4 3 7 7 4 6 3 3 3 6 1 6 7 6 6 6 1 1 4 1 1
1 2 7 6 5 7 6 7 5 3 6 7 4 7 5 6 2 1 1 1 7 6 6 6 5 3 5 3 3 1 7 6 6 5 3 6 6 5 5 5 6 2 6 3 4 5 6 7 3 3 1 2 2 3 6 7 7 2 7 4 5 6 5 5 4 2 4 2 4 7 3 5 3 3 3 5 2 3 6 5 2 7 7 6 7 7 7 3 7 2 7 4 7 6 5 1 1 2 1 4
7 5 1 1 2 1 4 6 1 1 6 4 5 2 6 5 1 4 3 3 7 6 5 7 6 1 1 2 2 3 7 5 6 5 5 2 5 7 5 6 4 2 4 2 3 6 4 7 6 7 3 2 4 5 7 6 5 3 4 7 5 3 7 2 3 4 5 5 2 2 6 3 6 7 7 6 5 6 2 4 7 6 6 6 3 7 3 2 3 2 4 7 7 1 6 1 2 3 3 1
1 1 5 7 6 7 4 5 3 4 7 7 7 7 6 2 3 1 1 2 6 6 5 6 3 2 2 1 5 6 6 7 4 4 5 5 6 6 3 7 4 5 5 5 3 6 7 6 5 5 2 5 2 4 5 5 5 4 5 6 4 5 4 2 3 3 5 6 2 6 6 6 7 5 5 4 6 6 5 3 6 7 3 4 1 6 2 2 6 3 7 5 5 5 6 2 1 2 1 3
3 1 2 3 1 2 1 6 1 1 6 6 7 7 4 5 1 1 1 1 6 7 7 6 5 1 2 4 4 1 7 6 6 5 5 7 7 7 3 7 3 2 3 6 3 6 4 5 5 3 1 4 2 3 5 5 5 5 7 7 2 3 5 2 2 7 6 7 5 7 4 5 7 5 4 5 4 6 1 6 6 2 7 4 7 5 3 6 3 1 7 6 7 7 4 1 2 3 4 2
6 2 4 2 2 3 3 2 3 3 3 3 1 4 6 7 5 5 2 1 6 6 5 5 4 1 3 4 5 4 5 5 3 1 2 3 1 2 1 5 3 4 5 7 5 5 4 6 3 3 3 6 7 5 4 2 4 3 5 4 7 6 5 6 6 2 1 2 4 3 7 6 6 6 3 7 7 2 2 4 5 7 4 6 4 5 6 2 6 1 5 5 4 5 4 1 2 3 3 1
2 7 2 6 5 7 6 5 7 6 7 6 6 7 7 2 1 1 1 1 6 5 3 1 2 5 7 2 4 1 6 6 3 5 6 3 6 6 1 7 5 3 4 5 5 2 7 5 3 4 2 3 3 2 4 6 4 2 6 4 3 1 4 1 2 7 7 7 7 6 6 7 6 2 5 2 6 7 2 3 5 4 7 6 7 6 4 2 1 2 4 6 6 6 4 3 2 5 4 6
5 1 3 4 5 1 2 2 5 6 3 4 6 3 3 6 3 4 3 3 7 6 6 5 3 2 1 5 6 1 5 3 2 4 3 2 3 5 2 6 2 4 2 2 3 5 3 2 5 4 6 7 6 7 2 2 2 4 4 3 7 4 7 7 5 3 2 3 1 3 4 3 3 5 5 5 5 5 7 2 4 6 5 5 4 7 6 3 2 1 6 4 7 4 6 3 2 4 7 2
3 5 6 5 5 3 6 6 5 5 7 5 6 7 4 1 2 1 1 1 6 5 5 3 6 2 1 6 2 1 5 4 6 6 4 2 1 2 4 7 4 6 5 7 5 6 6 5 1 4 1 2 5 1 7 6 6 6 6 5 4 3 3 2 6 6 6 6 5 6 7 5 6 6 6 5 6 5 2 4 7 5 7 7 6 7 3 1 1 5 4 6 6 1 4 3 3 1 3 4
5 2 6 3 1 1 3 3 1 4 2 3 7 3 4 7 4 6 2 3 6 4 4 5 2 3 1 4 6 6 6 6 6 1 6 5 4 6 5 7 2 3 5 7 5 6 6 7 1 4 3 6 6 7 2 1 3 4 2 2 7 6 6 4 7 2 1 2 1 2 5 1 4 3 6 2 7 4 4 4 6 4 6 5 6 5 3 2 6 5 7 5 3 4 6 2 1 5 4 1
3 4 1 1 1 1 1 4 2 2 4 6 5 7 6 6 4 3 1 2 6 7 6 5 3 1 3 4 3 5 4 3 5 5 2 5 3 3 4 5 2 2 3 4 6 3 5 2 3 3 4 5 4 2 5 6 4 5 4 6 6 4 5 3 4 5 3 5 3 2 6 4 5 5 2 6 6 3 2 5 6 7 3 1 1 3 7 2 4 4 5 5 7 5 6 1 2 3 2 4
3 7 1 5 2 5 1 3 4 5 2 3 4 1 3 3 5 3 6 7 5 5 6 6 5 1 3 3 6 1 5 3 4 2 4 3 2 4 5 7 2 2 2 3 4 5 2 5 7 7 3 3 4 6 5 5 5 3 6 2 4 3 1 3 5 3 3 5 3 4 3 5 3 3 5 5 5 3 7 5 7 6 6 6 5 6 4 1 3 2 1 7 5 1 4 2 3 5 6 3
2 3 5 3 4 4 3 5 6 2 6 7 3 6 6 5 3 4 1 2 7 7 7 6 6 1 1 2 4 1 7 6 5 5 5 5 6 3 5 7 2 4 5 6 3 6 4 6 5 4 2 5 4 5 5 5 3 5 7 4 7 7 6 6 6 2 2 1 2 1 7 7 7 7 7 6 5 6 1 2 3 7 6 7 5 5 4 1 4 3 6 7 7 6 5 1 1 1 2 1
3 3 2 4 6 2 5 6 3 1 6 6 3 6 5 2 2 2 5 3 3 2 2 4 2 7 6 5 5 3 5 5 2 2 3 2 1 4 1 4 3 1 6 5 6 6 6 7 2 4 1 3 4 2 7 5 6 6 6 7 1 1 3 1 3 7 7 7 7 7 5 5 4 6 4 3 7 1 2 3 1 7 5 3 5 5 2 2 3 2 7 7 7 5 6 2 3 2 1 2
4 3 5 3 5 2 1 5 3 1 5 1 4 4 4 7 5 3 2 3 5 6 5 6 5 3 3 5 6 2 5 6 5 5 5 6 3 5 6 6 4 5 3 4 4 6 2 5 4 5 3 3 2 1 6 4 3 2 5 5 2 2 3 2 2 7 6 7 5 6 4 2 2 3 7 6 5 5 4 3 6 7 4 5 5 5 3 3 2 2 5 6 6 7 3 2 2 5 3 3
5 4 5 5 5 5 6 4 6 5 3 6 5 3 3 5 2 4 3 2 5 5 7 6 3 2 3 6 5 2 7 4 5 5 7 6 6 6 5 7 3 7 3 4 3 3 6 6 7 6 2 5 6 4 1 3 2 3 6 2 7 6 6 4 7 5 1 1 3 4 4 4 4 4 3 5 4 6 6 6 7 7 6 6 7 7 1 2 1 2 3 7 3 3 2 7 5 4 6 6
3 5 7 6 5 6 1 5 5 7 7 6 7 7 6 5 1 1 1 1 6 7 5 5 7 1 1 1 3 1 6 4 5 4 5 2 3 7 1 7 3 4 5 6 5 6 6 5 4 5 5 6 4 7 2 3 2 3 3 4 5 5 6 5 7 3 2 2 3 1 6 5 6 6 6 5 7 4 2 4 6 6 6 7 6 6 7 2 3 2 6 5 7 5 7 2 1 3 3 3
3 1 4 5 2 6 6 6 3 6 5 1 3 6 7 7 3 4 2 1 6 5 3 3 3 3 2 5 7 6 1 2 3 1 2 1 2 1 1 1 2 2 2 4 3 2 7 5 5 6 3 7 7 7 1 4 5 4 2 4 6 1 5 3 2 5 5 7 6 5 4 2 2 2 4 4 3 6 2 3 7 5 7 6 5 3 7 2 3 5 5 7 5 1 4 6 4 7 6 1
6 1 1 3 3 2 5 2 3 1 5 6 7 6 5 7 2 1 5 2 5 5 4 2 3 3 5 6 5 5 5 3 5 3 4 2 6 2 6 6 5 5 5 3 6 7 6 6 3 5 5 6 6 2 4 5 2 2 3 4 5 6 5 2 6 5 3 5 5 2 6 5 5 5 2 5 5 5 3 6 5 7 5 4 5 6 7 3 4 5 3 6 6 2 4 2 3 6 4 2
6 3 2 5 5 1 5 6 5 1 3 4 2 1 6 7 5 5 6 3 6 7 7 7 5 1 2 3 5 1 6 4 5 2 4 1 6 3 3 6 2 1 2 2 2 4 5 6 7 2 3 7 7 4 1 1 2 4 5 1 6 7 7 3 6 2 1 1 1 1 6 7 6 6 7 5 5 6 4 6 5 5 5 4 7 5 2 3 6 2 7 7 7 4 5 1 1 5 1 2
4 1 3 5 2 1 2 2 2 1 5 4 4 3 4 1 2 2 3 2 7 7 7 5 5 1 4 4 2 1 6 5 5 6 2 7 4 5 2 5 4 4 4 4 3 7 7 6 3 5 2 5 4 6 4 4 6 3 5 5 7 6 6 4 7 2 2 2 3 4 6 5 3 5 5 5 7 6 5 2 7 7 6 6 5 6 3 1 5 1 7 5 7 4 6 1 1 1 1 1
7 1 2 3 1 5 2 6 3 1 2 3 7 3 5 2 2 5 2 5 6 7 3 6 5 1 2 1 3 2 6 6 5 3 5 4 5 6 3 6 2 2 1 3 4 6 5 4 6 6 2 6 6 6 4 1 1 2 4 6 2 2 5 2 2 5 5 6 6 6 5 5 6 5 5 6 5 5 3 4 6 6 6 7 5 7 3 1 4 2 6 5 7 4 6 1 2 2 2 2
7 3 4 4 6 2 4 6 5 4 7 7 6 7 6 7 2 1 2 1 6 6 6 2 6 3 2 6 3 6 4 2 2 2 2 1 7 3 1 5 2 4 3 1 5 7 1 2 6 5 3 7 7 5 2 2 1 6 3 2 6 6 6 6 7 2 1 2 1 5 7 7 7 7 7 7 7 5 2 5 6 7 7 7 7 7 1 1 5 2 2 6 7 5 6 4 3 1 2 2
4 2 7 5 5 3 5 3 1 2 5 6 5 7 7 2 2 1 2 2 7 6 5 7 5 1 1 5 3 2 7 4 2 3 3 4 6 3 4 6 3 2 2 6 3 3 5 3 2 6 2 4 3 1 3 6 4 5 6 5 3 3 5 2 3 5 5 3 5 6 7 5 6 6 6 6 6 6 2 6 2 6 5 6 1 6 2 2 3 2 7 6 3 6 5 2 2 5 2 2
6 1 7 2 2 4 2 5 3 6 3 5 1 3 4 6 3 5 2 6 6 6 4 6 4 2 1 1 2 2 5 5 6 5 5 5 5 4 5 7 3 2 2 4 4 3 6 5 6 4 2 6 7 5 3 2 4 3 5 6 7 3 6 3 5 4 2 3 2 3 5 5 6 7 7 6 6 3 2 5 5 7 5 4 3 5 5 2 5 2 5 5 5 2 6 2 3 2 4 1
2 6 3 3 4 4 1 7 2 5 1 3 3 2 1 6 6 5 1 4 6 3 3 6 1 5 3 6 7 3 7 5 6 3 3 2 6 7 2 4 4 3 6 3 6 5 4 6 6 5 1 7 7 2 3 2 6 2 4 5 3 2 2 3 3 6 2 6 4 5 4 4 3 2 2 5 4 5 4 7 5 5 5 6 6 4 5 2 2 3 6 5 6 3 4 5 4 3 6 3
4 4 2 3 4 3 2 7 5 1 6 6 7 7 4 2 1 4 2 1 2 5 5 7 3 3 2 5 5 2 5 4 1 3 1 1 6 3 2 3 6 7 7 7 7 7 7 7 2 1 4 6 5 6 4 4 3 3 5 7 2 3 5 4 3 6 4 4 5 6 5 5 6 5 6 6 6 7 2 2 4 6 7 6 6 7 5 5 4 5 6 3 7 4 4 5 3 7 4 2
2 6 7 5 5 5 7 7 7 5 6 6 4 7 7 3 2 1 1 1 5 6 6 7 4 2 1 6 3 1 6 2 5 5 5 5 5 6 1 4 2 3 2 2 1 2 5 2 6 6 1 6 5 2 3 6 4 6 4 6 6 4 4 4 6 5 2 5 5 3 3 2 4 3 2 4 5 4 6 1 6 5 7 6 1 5 3 2 3 2 6 7 6 1 5 5 3 4 3 1
5 6 2 6 4 6 1 1 3 5 7 6 5 7 7 1 1 1 1 3 3 5 5 6 7 1 5 2 3 3 7 6 4 3 3 7 3 4 3 5 3 6 4 4 2 7 4 6 3 5 5 5 2 4 5 2 6 5 5 7 6 3 2 3 3 5 3 3 5 5 4 6 5 3 4 2 5 2 5 6 7 5 4 4 4 5 6 4 6 6 2 3 6 6 5 1 5 2 4 2
5 2 5 5 7 5 2 5 5 2 6 2 4 7 6 2 1 2 2 3 7 7 6 7 5 2 2 3 2 1 6 4 6 4 6 4 7 5 2 7 2 1 1 2 2 4 1 3 6 5 2 2 6 6 5 6 5 5 5 4 3 4 2 1 3 5 5 4 3 5 3 3 5 5 2 3 6 5 4 5 7 6 6 5 1 5 5 2 2 3 3 6 7 5 2 2 4 4 4 1
7 1 2 2 1 1 1 1 1 1 1 6 1 3 2 5 5 5 2 5 6 6 3 6 4 3 6 5 4 3 6 4 6 6 7 6 5 7 4 7 4 5 3 4 3 4 7 6 6 4 3 6 7 6 2 1 1 2 2 3 7 2 5 2 5 3 1 4 2 6 6 5 6 6 6 5 5 6 2 2 6 5 6 5 4 6 6 4 2 2 6 2 4 5 4 1 3 6 6 4
5 5 3 4 7 2 2 7 3 2 7 2 7 6 6 5 1 1 1 1 7 7 6 6 4 1 1 5 2 1 7 5 6 3 6 2 6 5 7 7 4 3 5 3 4 6 7 5 5 5 5 7 5 4 1 2 3 1 5 3 6 6 6 4 7 3 1 1 1 2 5 4 5 7 4 6 5 5 2 3 4 7 3 5 6 6 2 2 7 1 4 5 5 3 4 4 4 5 4 3
5 2 5 4 5 5 2 5 3 5 5 7 7 6 7 5 1 1 1 1 7 7 7 7 6 1 1 6 5 1 6 5 6 6 3 2 6 6 2 5 3 5 5 4 5 6 3 5 7 3 3 3 5 2 5 5 4 3 5 5 7 6 7 5 6 2 2 3 2 2 6 5 6 6 2 6 5 6 2 4 5 7 6 6 4 7 2 1 2 2 6 7 7 3 6 1 1 2 1 1
6 1 6 1 1 1 1 5 1 2 3 5 7 6 5 1 2 2 2 3 7 7 6 7 7 1 2 5 4 3 5 2 4 2 5 3 6 7 6 5 2 3 5 2 4 5 5 2 4 7 4 6 6 7 5 4 4 7 1 4 7 3 5 7 7 3 2 3 1 2 6 5 4 7 4 5 5 6 2 4 7 6 6 5 2 7 2 1 4 2 1 5 3 4 3 6 6 6 6 5
3 4 5 1 1 2 2 2 3 4 6 7 5 6 6 6 1 2 1 2 6 6 5 7 4 2 2 5 5 3 7 7 7 6 6 5 7 7 3 7 6 5 6 6 4 7 7 7 6 2 4 7 4 5 3 5 3 5 3 6 4 3 5 2 6 3 2 2 2 2 7 4 6 7 7 5 5 1 3 6 5 7 7 6 2 6 2 2 3 6 5 2 7 4 4 2 3 2 4 1
3 6 5 5 5 5 7 5 5 4 5 5 4 4 5 5 5 3 6 2 2 5 2 4 2 5 5 6 6 3 4 4 4 5 3 2 6 4 2 6 4 5 3 4 4 7 7 4 3 5 4 5 3 5 5 4 4 6 5 7 6 3 6 5 4 4 3 3 2 3 6 4 7 4 6 2 6 6 1 5 7 7 7 7 2 7 3 1 3 1 5 5 6 5 3 3 5 4 4 2
